xPos,yPos,distance
75,70,83.97118609925452
75,73,73.91780236304929
75,76,39.014458982221015
75,79,21.880224975852762
75,82,21.579820030321667
75,85,21.287931718318504
75,88,21.804304679528286
75,91,30.056867729113673
75,94,25.243187057822702
75,97,22.753475410390518
75,100,22.34764815531727
78,70,50.83609438325171
78,73,71.10245975874594
78,76,40.89788358318388
78,79,21.880224975852762
78,82,22.26829535552599
78,85,21.360125537388132
78,88,21.880224975852762
78,91,29.618940702371063
78,94,25.140802189579194
78,97,22.753475410390518
78,100,22.18953085342039
81,70,87.99448732247524
81,73,79.16926896338916
81,76,57.422822790425066
81,79,21.880224975852762
81,82,21.50606403455799
81,85,21.880224975852762
81,88,17.580484941446304
81,91,22.427595970715274
81,94,25.768512709752677
81,97,21.880224975852762
81,100,21.880224975852762
84,70,79.16926896338916
84,73,34.51096037271151
84,76,37.304099438856944
84,79,23.089440298056683
84,82,21.880224975852762
84,85,21.579820030321667
84,88,21.579820030321667
84,91,19.336770079215114
84,94,18.711760504785236
84,97,21.50606403455799
84,100,21.074385776790226
87,70,83.97118609925452
87,73,79.16926896338916
87,76,71.10245975874594
87,79,34.51096037271151
87,82,21.95670146499718
87,85,21.880224975852762
87,88,21.880224975852762
87,91,21.804304679528286
87,94,21.432834436959173
87,97,16.088193545928032
87,100,22.18953085342039
90,70,89.4270686465234
90,73,70.21323205227537
90,76,78.05721237354311
90,79,62.45215122189918
90,82,21.579820030321667
90,85,21.880224975852762
90,88,22.34764815531727
90,91,17.9749082847011
90,94,21.804304679528286
90,97,21.804304679528286
90,100,21.880224975852762
93,70,95.6829556336824
93,73,45.65624266214306
93,76,78.05721237354311
93,79,70.21323205227537
93,82,27.00907883778985
93,85,21.72893443916665
93,88,21.145067255677876
93,91,21.95670146499718
93,94,21.804304679528286
93,97,17.874572709074958
93,100,21.432834436959173
96,70,42.36450351231416
96,73,86.60917787783498
96,76,71.10245975874594
96,79,80.31505953051612
96,82,71.10245975874594
96,85,47.51235862254096
96,88,40.89788358318388
96,91,41.18264042544637
96,94,26.543723661158012
96,97,55.2126666327604
96,100,47.51235862254096
99,70,74.90897946750623
99,73,71.10245975874594
99,76,39.272327580647335
99,79,67.67998716836462
99,82,79.16926896338916
99,85,46.015220912590124
99,88,74.90897946750623
99,91,71.10245975874594
99,94,83.97118609925452
99,97,74.90897946750623
99,100,40.61722261701496
102,70,95.6829556336824
102,73,87.99448732247524
102,76,83.97118609925452
102,79,89.4270686465234
102,82,74.90897946750623
102,85,79.16926896338916
102,88,80.31505953051612
102,91,78.05721237354311
102,94,49.534014755555205
102,97,87.99448732247524
102,100,49.115369772992025
105,70,111.4372654261191
105,73,79.16926896338916
105,76,52.21204288211959
105,79,71.10245975874594
105,82,79.16926896338916
105,85,79.16926896338916
105,88,82.71427818476319
105,91,81.49616759898501
105,94,102.93233680435569
105,97,79.16926896338916
105,100,95.6829556336824
