distance,sensorReading
5.5,584
7.0,551
8.5,555
10.0,479
11.5,461
13.0,389
14.5,348
16.0,311
17.5,284
19.0,263
20.5,242
22.0,224
23.5,200
25.0,197
26.5,211
28.0,175
29.5,167
31.0,160
32.5,152
34.0,144
35.5,128
37.0,133
38.5,112
40.0,108
41.5,93
43.0,73
44.5,102
46.0,104
47.5,101
49.0,101
50.5,96
52.0,88
53.5,81
55.0,102
56.5,85
58.0,95
59.5,105
61.0,105
62.5,104
64.0,101
65.5,104
67.0,104
68.5,89
70.0,85
71.5,123
