distance,sensorReading
4,744
5.5,539
7.0,522
8.5,486
10.0,514
11.5,384
13.0,357
14.5,323
16.0,327
17.5,274
19.0,253
20.5,236
22.0,244
23.5,213
25.0,197
26.5,185
28.0,177
29.5,160
31.0,150
32.5,153
34.0,137
35.5,149
37.0,137
38.5,134
40.0,138
41.5,122
43.0,117
44.5,109
46.0,101
47.5,109
49.0,104
50.5,173
52.0,93
53.5,97
55.0,89
56.5,97
58.0,140
59.5,81
61.0,88
62.5,85
64.0,89
