xPos,yPos,distance
75,45,27.369482873089083
75,50,27.86601116599009
75,55,28.381803003017357
75,60,28.381803003017357
75,65,29.055410979885373
75,70,21.50606403455799
75,75,29.33433978398102
75,80,29.33433978398102
75,85,29.909391281219687
75,90,21.21624744333693
75,95,27.993109341865374
75,100,22.671078253752004
75,105,21.287931718318504
75,110,21.287931718318504
75,115,16.12829533268909
75,120,17.775403904785353
75,125,14.509047092931361
75,130,13.276506088199856
75,135,12.222216485656018
80,45,19.696512624040544
80,50,28.381803003017357
80,55,31.133514002922684
80,60,28.918020106520146
80,65,29.33433978398102
80,70,29.33433978398102
80,75,30.508589746146843
80,80,29.909391281219687
80,85,29.909391281219687
80,90,27.86601116599009
80,95,24.44776185984738
80,100,21.074385776790226
80,105,17.343043569563775
80,110,20.32834024947055
80,115,19.88170011635914
80,120,16.37337734870606
80,125,14.38139611012305
80,130,15.32783839902109
80,135,10.731459095274532
85,45,26.658480569652184
85,50,37.072488876431805
85,55,55.2126666327604
85,60,34.91185993607099
85,65,34.51096037271151
85,70,28.513894992776304
85,75,21.95670146499718
85,80,21.804304679528286
85,85,20.934497813811888
85,90,20.66047809663172
85,95,20.526266762583695
85,100,16.37337734870606
85,105,17.02169059950717
85,110,21.804304679528286
85,115,20.7965420377343
85,120,17.389992799931477
85,125,14.38139611012305
85,130,12.98902945812599
85,135,12.088859670451354
90,45,26.429997303621274
90,50,37.072488876431805
90,55,32.820060943757476
90,60,36.84387200057145
90,65,23.261354567359845
90,70,28.918020106520146
90,75,28.25098712388462
90,80,28.25098712388462
90,85,20.7965420377343
90,90,20.526266762583695
90,95,19.819566686633248
90,100,20.728276065434503
90,105,14.671991344781796
90,110,18.283128571292316
90,115,16.9321536072831
90,120,14.194271009875335
90,125,14.256076616043783
90,130,12.963540380005334
90,135,12.001635867012272
95,45,33.54966102210221
95,50,32.467580868546754
95,55,28.381803003017357
95,60,27.615408184524885
95,65,28.918020106520146
95,70,29.055410979885373
95,75,21.880224975852762
95,80,28.381803003017357
95,85,29.909391281219687
95,90,28.918020106520146
95,95,16.290820249626265
95,100,12.335726691169626
95,105,19.819566686633248
95,110,20.26325039141276
95,115,20.7965420377343
95,120,16.583659665880862
95,125,14.28719146656743
95,130,12.641470084406755
95,135,12.001635867012272
100,45,79.16926896338916
100,50,71.10245975874594
100,55,64.58550950905227
100,60,61.773440176216575
100,65,42.36450351231416
100,70,64.58550950905227
100,75,79.16926896338916
100,80,70.21323205227537
100,85,66.87755726643755
100,90,69.34699867826971
100,95,42.06241751858184
100,100,59.20631637573968
100,105,31.133514002922684
100,110,17.066832356530384
100,115,18.934080735465443
100,120,16.414985683698223
100,125,14.256076616043783
100,130,12.912875413277266
100,135,11.159473177861004
105,45,61.773440176216575
105,50,80.31505953051612
105,55,79.16926896338916
105,60,52.68822225038913
105,65,78.05721237354311
105,70,71.10245975874594
105,75,68.50286619177638
105,80,67.67998716836462
105,85,74.90897946750623
105,90,37.304099438856944
105,95,79.16926896338916
105,100,67.67998716836462
105,105,59.82692879596846
105,110,55.2126666327604
105,115,23.089440298056683
105,120,16.249867957072183
105,125,14.28719146656743
105,130,12.788009864979031
105,135,11.958516620959466
110,45,56.853060545840606
110,50,73.91780236304929
110,55,67.67998716836462
110,60,75.92842980140074
110,65,79.16926896338916
110,70,59.20631637573968
110,75,64.58550950905227
110,80,61.773440176216575
110,85,25.243187057822702
110,90,74.90897946750623
110,95,55.2126666327604
110,100,67.67998716836462
110,105,71.10245975874594
110,110,21.074385776790226
110,115,25.346449788647412
110,120,14.163578302715568
110,125,14.256076616043783
110,130,12.689924154966043
110,135,11.91572080947892
115,45,75.92842980140074
115,50,89.4270686465234
115,55,87.99448732247524
115,60,87.99448732247524
115,65,83.97118609925452
115,70,79.16926896338916
115,75,49.115369772992025
115,80,37.072488876431805
115,85,70.21323205227537
115,90,71.10245975874594
115,95,67.67998716836462
115,100,48.7040728967859
115,105,75.92842980140074
115,110,19.104490419059342
115,115,20.07057504093994
115,120,15.510787023040104
115,125,14.256076616043783
115,130,12.641470084406755
115,135,10.800391947896271
120,45,474.10205702045596
120,50,102.93233680435569
120,55,95.6829556336824
120,60,95.6829556336824
120,65,49.534014755555205
120,70,73.91780236304929
120,75,42.06241751858184
120,80,47.51235862254096
120,85,79.16926896338916
120,90,83.97118609925452
120,95,86.60917787783498
120,100,78.05721237354311
120,105,78.05721237354311
120,110,18.441433392257018
120,115,22.753475410390518
120,120,22.753475410390518
120,125,14.194271009875335
120,130,11.465299755527612
120,135,12.155154762015437
